productId,name,productFamily,active,candidateCapabilities,relationTypes,confidence,evidence,coverageStatus,reviewReason
1514,Banco Dip Chin / Abs MO 2.0 | Obelix®,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
1454,Par Barras Paralelas de Madera High 17cm | Araknido,BODYWEIGHT_GYMNASTICS,true,DIP,DIRECT,EXPLICIT,NAME:NAME:paralelas:NAME_DIP_DIRECT_EXPLICIT_V1: | TRUSTED_CATEGORY:430:Barras Paralelas:CATEGORY_NAME_DIP_DIRECT_EXPLICIT_V1:SEMANTIC_STRONG,UNMODELED,
1359,Strongman Sandbag 200lbs (Sin relleno) | KONG,BALL_BAG,true,,,,,UNMODELED,
1873,Bíceps Curl Accesorio Banco B814 | PROmachine,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,BICEPS_CURL: Candidate capability is deferred from Training Semantics V1.
2052,Banco Plano Plegable 1.0 | Forza,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
2141,Banco Hip Thrust/Nordic Curl ZR Series | PROmachine,BENCH,true,HIP_THRUST,DIRECT,EXPLICIT,NAME:NAME:hip thrust:NAME_HIP_THRUST_EXPLICIT_V1:,UNMODELED,
2057,Bicicleta Estática Magnética Home FZLUX | Forza,CARDIO_MACHINE,true,,,,,UNMODELED,
1592,Par Muñequeras de Tela Spiral 2.0 Magenta | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
888,Safety Straps (Par) | Accesorio Power Rack Heavy Duty Series | HWM,MACHINE_ATTACHMENT,false,,,,,NO_CAPABILITY_APPLICABLE,
309,Pack 100kg Classic Black + Elite 20kg | HWM®,,false,,,,,UNMODELED,
1346,Soga de Tríceps Unilateral - Accesorio Polea | Obelix,CABLE_MACHINE,true,,,,,NO_CAPABILITY_APPLICABLE,
1184,Chaleco de Lastre Running 5kg | HWM,,true,,,,,UNMODELED,
505,Costo logistico,,true,,,,,UNMODELED,
1844,Clubbell 15kg | Rising,KETTLEBELL,true,,,,,UNMODELED,
1778,Banda de Resistencia Thera Band 20lb | FullFit,BAND_SUSPENSION,true,,,,,NO_CAPABILITY_APPLICABLE,
1170,Almohadilla de Barra Skull | FullFit,BARBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
1295,Pack 9kg Discos Fraccionados Gold Steel | XMASTER,WEIGHT_PLATE,false,,,,,UNMODELED,
2182,Multifuncional Trainer ZR Series | PROmachine,PLATE_LOADED_MACHINE,true,PULL_UP,SUPPORTED,HIGH,STRUCTURED_FEATURE:11:Peso máximo de usuario: Barra pull up: 100 kg.:FEATURE_NAME_PULL_UP_DIRECT_EXPLICIT_V1:Explicit module/configuration evidence; supported relation.,UNMODELED,SUPPORTED assignment requires explicit module/configuration evidence.
1939,Pack 8 Pares de Mancuernas (2.5 a 20kg) + Rack | HWM®,DUMBBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
878,Glute Band Black | FullFit,,true,,,,,UNMODELED,
325,Par Bumper Plates Competición 20kg | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
890,Dip Horn | Accesorio Power Rack Heavy Duty Series | HWM,MACHINE_ATTACHMENT,false,,,,,NO_CAPABILITY_APPLICABLE,
220,Par Mancuernas PU 20kg | Obelix®,DUMBBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
1840,Clubbell 6kg | Rising,KETTLEBELL,true,,,,,UNMODELED,
1614,Par Calleras Stone 2.0 Sin Orificios Blanco | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1351,Agarre Simple Landmine | HWM®,MACHINE_ATTACHMENT,true,,,,,NO_CAPABILITY_APPLICABLE,
880,Gorra Black Series | HWM,APPAREL,true,,,,,UNMODELED,
